區名,件數,土地筆數,土地面積,建物棟數,建物面積
鹽埕區,19,35,327.61,14,854.21
鼓山區,134,169,4277.82,128,12095.07
左營區,198,249,6399.1,185,17231.14
楠梓區,462,519,14681.62,348,25442.7
三民區,508,601,15138.61,504,39516.74
新興區,81,148,2862.49,81,6536.61
前金區,73,144,2486.92,61,9796.52
苓雅區,342,512,9213.25,353,31073.03
前鎮區,190,249,7338.14,185,18738.6
旗津區,4,8,152.58,4,350.8
小港區,172,217,35248.88,150,15003.08
鳳山區,463,526,21079.47,448,34888.54
林園區,109,207,31982.77,63,8433
大寮區,212,357,129234.45,97,13887.98
大樹區,45,65,45590.81,20,2629.18
大社區,33,71,16099.71,17,3237.54
仁武區,287,440,72761.66,256,28365.17
鳥松區,63,92,15128.22,51,5384.34
岡山區,93,156,20574.2,77,10222.41
橋頭區,173,195,9914.63,159,12385.87
燕巢區,73,94,36808.29,13,2079.41
田寮區,7,8,6299.88,0,0
阿蓮區,20,27,13488.01,9,908.71
路竹區,66,104,52498.97,22,2361.99
湖內區,82,126,33679.45,47,5281.53
茄萣區,16,25,5932.4,5,580.76
永安區,7,14,14575.63,2,269.28
彌陀區,10,16,10004.31,2,294.84
梓官區,117,212,10949.81,105,7175.08
旗山區,42,83,86310.27,17,2069.89
美濃區,60,88,42352.93,14,1286.77
六龜區,11,11,10713.13,0,0
甲仙區,5,5,956.11,2,235.19
杉林區,10,20,33094.62,1,124.2
內門區,19,27,65500.8,2,226.76
茂林區,1,1,200,1,170.84
那瑪夏區,2,2,68646,0,0
