館舍名稱,電話,傳真,地址,EMAIL,FB,開放時間,閉館時間
總館,5360238,5360632,前鎮區新光路61號,reflib@mail.ksml.edu.tw,,"周二~日10:00~22:00 
國定假日10:00~17:00 
■逢六、日21:30停止入館；
國定假日16:30停止入館。
■櫃台於閉館前30分鐘停止服務。",10點
前鎮分館,7173008,7174440,前鎮區保泰路303號4-5樓,libk@mail.ksml.edu.tw,https://www.facebook.com/profile.php?id=100080913545914,"週二~六09:00~21:00
週日09:00~17:00",9點
草衙分館,8126708,8126731,前鎮區新衙路17號,caoya@mail.ksml.edu.tw,https://www.facebook.com/caoyalibrary,"週二~六09:00~21:00
週日09:00~17:00",9點
高雄文學館,2611706-7,2611603,前金區民生二路39號,literature@mail.ksml.edu.tw,https://www.facebook.com/ksliterary,"週二~六09:00~21:00
週日09:00~17:00",9點
李科永紀念圖書館,2610005,2619997,前金區民生二路37號,liblk@mail.ksml.edu.tw,https://www.facebook.com/KSMLCJ/?ref=embed_page,"週二~六09:00~21:00
週日09:00~17:00",9點
新興分館,2372563,2381594,新興區中正三路34號3樓,libi@mail.ksml.edu.tw,https://www.facebook.com/sinsinglibrary1986/?ref=embed_page,"週三、五~日9:00~17:00
週二、四9:00~19:00",5點
新興民眾閱覽室,2411805,2381594,新興區民生一路271號,libi3@mail.ksml.edu.tw,https://www.facebook.com/sinsinglibrary1986/?ref=embed_page,"週三、五~日9:00~17:00
週二、四11:00~19:00",5點
苓雅分館,5350287,5350289,苓雅區青年二路101號4-5樓,libo@mail.ksml.edu.tw,https://www.facebook.com/ksmllibo/?ref=embed_page,"週三、五~日9:00~17:00
週二、四11:00~19:00",5點
高雄市文化中心分館,2225136,2288914,苓雅區五福一路67號,libkcc@mail.ksml.edu.tw,https://www.facebook.com/Libkcc/?ref=embed_page,"週二~六09:00~21:00
週日09:00~17:00",9點
鼓山分館,5515554,5335154,鼓山區鼓山三路19-3號,libb@@mail.ksml.edu.tw,https://www.facebook.com/gushan.library.ks/?ref=embed_page,"週三、五~日9:00~17:00
週二、四9:00~19:00",5點
旗津分館,5715785,5719403,旗津區中洲三路528號,libd1@mail.ksml.edu.tw,https://www.facebook.com/ksmld528/?ref=embed_page,"週三、五~日9:00~17:00
週二、四11:00~19:00",5點
右昌分館,3631338,X,楠梓區藍昌路72號,libe@mail.ksml.edu.tw,https://www.facebook.com/YouchangBranch/?ref=embed_page,"週二~六09:00~21:00
週日09:00~17:00",9點
左營分館,5839802,5874815,左營區自助里啟文路12號,libf@mail.ksml.edu.tw,https://www.facebook.com/zuoying.library.ks/?ref=embed_page,"週二~六09:00~21:00
週日09:00~17:00",9點
三民分館,3225528,3224916,三民區十全一路220號,libg@mail.ksml.edu.tw,https://www.facebook.com/ksml.Libg/?ref=embed_page,"週三、五~日9:00~17:00
週二、四9:00~19:00",5點
鹽埕分館,5322912,5325703,鹽埕區大仁路179號5、6 樓,libj@mail.ksml.edu.tw,https://www.facebook.com/yancheng.library.ks/?ref=embed_page,"週三、五~日9:00~17:00
週二、四9:00~19:00",5點
寶珠分館,3950813,3952429,三民區大順二路468號4樓,ibl@mail.ksml.edu.tw,https://www.facebook.com/ksmllibl/?ref=embed_page,"週二~六09:00~21:00
週日09:00~17:00",9點
南鼓山分館,5610940-1,5512474,鼓山區延平街87-13號4樓,libm@mail.ksml.edu.tw,https://www.facebook.com/libm9144/?ref=embed_page,"週三、五~日9:00~17:00
週二、四11:00~19:00",5點
翠屏分館,3639358,3647181,楠梓區德惠路55號3樓,libn@mail.ksml.edu.tw,https://www.facebook.com/profile.php?id=100068813306432&ref=embed_page,"週三、五~日9:00~17:00
週二、四11:00~19:00",5點
陽明分館,3899938,3929521,三民區陽明路300號3樓,libs@mail.ksml.edu.tw,https://www.facebook.com/libls/?ref=embed_page,"週三、五~日9:00~17:00
週二、四9:00~19:00",5點
楠仔坑分館,3551381-2,3551383,楠梓區楠梓路262號(圖書館大門在楠梓派出所旁旗楠路上),libq@mail.ksml.edu.tw,https://www.facebook.com/libq1/?ref=embed_page,"週二~六09:00~21:00
週日09:00~17:00",9點
左新分館,3500228,3500878,左營區博愛三路453號,libf2@mail.ksml.edu.tw,https://www.facebook.com/zuoxin.fans/?ref=embed_page,"週二~六09:00~21:00
週日09:00~17:00",9點
小港分館,8024310,8012226,小港區博學路365號,@mail.ksml.edu.tw,https://www.facebook.com/ksblib/?ref=embed_page,"週二~六09:00~21:00
週日09:00~17:00",9點
