區名,件數,土地筆數,土地面積,建物棟數,建物面積,診所數量,圖書館數量
鹽埕,19,35,327.61,14,854.21,34,1
鼓山,134,169,4277.82,128,12095.07,158,2
左營,198,249,6399.1,185,17231.14,332,2
楠梓,462,519,14681.62,348,25442.7,168,3
三民,508,601,15138.61,504,39516.74,506,4
新興,81,148,2862.49,81,6536.61,179,2
前金,73,144,2486.92,61,9796.52,81,2
苓雅,342,512,9213.25,353,31073.03,306,2
前鎮,190,249,7338.14,185,18738.6,184,3
旗津,4,8,152.58,4,350.8,12,1
小港,172,217,35248.88,150,15003.08,98,1
鳳山,463,526,21079.47,448,34888.54,381,4
林園,109,207,31982.77,63,8433.0,39,2
大寮,212,357,129234.45,97,13887.98,64,2
大樹,45,65,45590.81,20,2629.18,24,3
大社,33,71,16099.71,17,3237.54,31,1
仁武,287,440,72761.66,256,28365.17,60,2
鳥松,63,92,15128.22,51,5384.34,18,1
岡山,93,156,20574.2,77,10222.41,109,2
橋頭,173,195,9914.63,159,12385.87,26,1
燕巢,73,94,36808.29,13,2079.41,18,1
田寮,7,8,6299.88,0,0.0,2,1
阿蓮,20,27,13488.01,9,908.71,17,1
路竹,66,104,52498.97,22,2361.99,40,1
湖內,82,126,33679.45,47,5281.53,14,1
茄萣,16,25,5932.4,5,580.76,21,1
永安,7,14,14575.63,2,269.28,5,1
彌陀,10,16,10004.31,2,294.84,9,2
梓官,117,212,10949.81,105,7175.08,22,2
旗山,42,83,86310.27,17,2069.89,50,1
美濃,60,88,42352.93,14,1286.77,21,1
六龜,11,11,10713.13,0,0.0,6,1
甲仙,5,5,956.11,2,235.19,3,1
杉林,10,20,33094.62,1,124.2,2,1
內門,19,27,65500.8,2,226.76,3,4
茂林,1,1,200.0,1,170.84,1,0
那瑪,2,2,68646.0,0,0.0,2,0
