機構名稱,機構代碼,地址,行政區,電話,家庭醫學科,內科,外科,整形外科,兒科,婦產科,骨科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,神經科,神經外科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,職業醫學科,西醫一般科,口腔病理科,口腔顏面外科,齒顎矯正科,牙科一般科,牙科,中醫一般科,中醫,中醫內科,中醫外科,中醫婦科,中醫兒科,傷科,中醫眼科,針灸科,痔科
楊明耀牙醫診所,3702060547,高雄市新興區中正四路５６號,新興區,07 2863378,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
博美牙醫診所,3702060592,高雄市新興區新田路３５號,新興區,07 2158136,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
黃文慧牙醫診所,3702060618,高雄市新興區仁愛一街１６０號,新興區,07 2358501,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
何彬彬牙醫診所,3702060672,高雄市新興區民生一路56號一樓,新興區,07 2270748,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
吉安牙醫診所,3702060707,高雄市新興區復興一路９３號,新興區,07 2351261,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
寶麗牙醫診所,3702060716,高雄市新興區六合路１５６號,新興區,07 2252696,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
台彎牙醫診所,3702060752,高雄市新興區中正三路１８０號,新興區,07 2354202,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
上群牙醫診所,3702060823,高雄市新興區忠孝一路１７８號,新興區,07 2822005,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
維恩牙醫診所,3702060832,高雄市新興區七賢二路一○一號一樓、一○三號一樓二樓,新興區,07 2869596,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
國雄牙醫診所,3702060887,高雄市新興區七賢一路248號一樓二樓,新興區,07 2357656,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
